iter	RMSE
236	167.3596658
237	167.1949409
238	167.1854026
239	167.1181589
240	166.6293625
241	165.8032691
242	165.7886318
243	165.6094047
244	165.2242198
245	164.8305355
246	164.5618758
247	164.2904252
248	164.1209088
249	163.8894924
250	163.6486576
251	163.5993322
252	163.2894099
253	163.0804617
254	163.054065
255	162.9765272
256	162.8036367
257	162.7952786
258	162.5197287
259	162.5093477
260	162.0155752
261	162.0094582
262	161.9615134
263	161.4996169
264	160.9703374
265	160.7824096
266	160.4918828
267	160.1729189
268	159.9118253
269	159.5668642
270	159.1275394
271	158.9311187
272	158.5599937
273	158.3694971
274	158.2690744
275	158.0111041
276	157.8322684
277	157.6522564
278	157.2144065
279	157.145712
280	156.9127055
281	156.3879235
282	156.3317213
283	155.9869373
284	155.7898033
285	155.7704552
286	155.2804978
287	155.0941006
288	154.7418339
289	154.4505626
290	154.2531647
291	154.1064972
292	153.7732144
293	153.5656251
294	153.3633187
295	153.2631011
296	153.2432131
297	153.1939978
298	153.067426
299	152.7542614
300	152.5151326
301	152.2469405
302	151.9942672
303	151.6157807
304	151.508486
305	150.8237709
306	150.3332094
307	150.3135628
308	150.0867423
309	149.8095974
310	149.5971658
311	149.5883936
312	149.5806822
313	149.4202511
314	149.3794611
315	149.0740823
316	149.0673933
317	148.540488
318	148.4764677
319	148.335827
320	148.0633676
321	147.9856616
322	147.8477017
323	147.543457
324	147.3682106
325	147.3619665
326	147.2017534
327	147.1958513
328	147.1209901
329	146.9861496
330	146.6824544
331	146.6724075
332	146.4152446
333	145.8994088
334	145.7411198
335	145.2680056
336	145.1985677
337	144.9968564
338	144.8827042
339	144.6007912
340	144.5680179
341	144.1513433
342	143.8009927
343	143.6663328
344	143.4532117
345	143.0131908
346	142.8508786
347	142.8459002
348	142.7495329
349	142.400199
350	142.2604795
351	142.1304494
352	141.9059845
353	141.674284
354	141.4666773
355	141.3371
356	141.2057273
357	141.0985332
358	141.0793801
359	140.8029852
360	140.7163481
361	140.5892731
362	140.5245524
363	140.3886892
364	140.2092258
365	140.0875956
366	139.9273986
367	139.4699113
368	139.2868497
369	139.2647989
370	139.1212565
371	138.7890776
372	138.6126754
373	138.2836121
374	137.9089526
375	137.6648481
376	137.4755617
377	137.4695285
378	137.4629209
379	137.1740349
380	137.02084
381	136.8443853
382	136.4800317
383	136.4660275
384	136.3206983
385	136.1627599
386	136.0942016
387	135.7735433
388	135.7008448
389	135.5708488
390	135.4630497
391	135.4590976
392	135.3623208
393	135.1594895
394	134.8526104
395	134.8429014
396	134.7692666
397	134.7078707
398	134.4068144
399	134.3259339
400	134.1444688
401	134.0878754
402	133.8815541
403	133.8581746
404	133.7803702
405	133.7174362
406	133.6777865
407	133.5918731
408	133.4518476
409	133.0755417
410	133.00325
411	132.8304248
412	132.7742767
413	132.7641771
414	132.5314641
415	132.4208869
416	132.2684207
417	131.9548269
418	131.87496
419	131.8687712
420	131.8107593
421	131.735564
422	131.5244644
423	131.4146495
424	131.3850466
425	130.9024977
426	130.8471267
427	130.5560844
428	130.4960564
429	130.4706737
430	130.2249606
431	130.1897811
432	129.9740388
433	129.8557851
434	129.8010068
435	129.698034
436	129.6868301
437	129.5590816
438	129.4983777
439	129.4026698
440	129.1135737
441	129.0677491
442	129.0644147
443	128.88042
444	128.8330177
445	128.8005846
446	128.7191975
447	128.5913541
448	128.3642412
449	128.3171435
450	128.2653975
451	128.2407397
452	128.2366104
453	128.1040953
454	128.0288331
455	127.976055
456	127.7995203
457	127.7903641
458	127.7743677
459	127.5561153
460	127.3637377
461	127.3402833
462	127.0886211
463	127.0297578
464	127.0262636
465	126.9792165
466	126.9291584
467	126.8164945
468	126.6492998
469	126.5385576
470	126.4533723
471	126.4086331
472	126.127754
473	126.0178147
474	126.0143771
475	125.8028629
476	125.719178
477	125.7151599
478	125.6504267
479	125.5979666
480	125.4448346
481	125.3092887
482	125.2487865
483	125.1379846
484	125.0107584
485	124.8222501
486	124.8125596
487	124.649262
488	124.6122534
489	124.5833363
490	124.5454907
491	124.3787846
492	124.3245116
493	124.2141536
494	124.163606
495	124.0909989
496	123.9331324
497	123.7905116
498	123.5636268
499	123.5609296
